period,period_type,measure,value,change_from_previous,source_series
2012 NOV,months,CPIH annual inflation rate,2.4,0.0,L55O
2012 DEC,months,CPIH annual inflation rate,2.4,0.0,L55O
2013 JAN,months,CPIH annual inflation rate,2.4,0.0,L55O
2013 FEB,months,CPIH annual inflation rate,2.5,0.1,L55O
2013 MAR,months,CPIH annual inflation rate,2.5,0.0,L55O
2013 APR,months,CPIH annual inflation rate,2.2,-0.3,L55O
2013 MAY,months,CPIH annual inflation rate,2.4,0.2,L55O
2013 JUN,months,CPIH annual inflation rate,2.6,0.2,L55O
2013 JUL,months,CPIH annual inflation rate,2.5,-0.1,L55O
2013 AUG,months,CPIH annual inflation rate,2.4,-0.1,L55O
2013 SEP,months,CPIH annual inflation rate,2.4,0.0,L55O
2013 OCT,months,CPIH annual inflation rate,2.0,-0.4,L55O
2013 NOV,months,CPIH annual inflation rate,1.9,-0.1,L55O
2013 DEC,months,CPIH annual inflation rate,1.9,0.0,L55O
2014 JAN,months,CPIH annual inflation rate,1.8,-0.1,L55O
2014 FEB,months,CPIH annual inflation rate,1.6,-0.2,L55O
2014 MAR,months,CPIH annual inflation rate,1.5,-0.1,L55O
2014 APR,months,CPIH annual inflation rate,1.7,0.2,L55O
2014 MAY,months,CPIH annual inflation rate,1.5,-0.2,L55O
2014 JUN,months,CPIH annual inflation rate,1.8,0.3,L55O
2014 JUL,months,CPIH annual inflation rate,1.6,-0.2,L55O
2014 AUG,months,CPIH annual inflation rate,1.5,-0.1,L55O
2014 SEP,months,CPIH annual inflation rate,1.3,-0.2,L55O
2014 OCT,months,CPIH annual inflation rate,1.3,0.0,L55O
2014 NOV,months,CPIH annual inflation rate,1.1,-0.2,L55O
2014 DEC,months,CPIH annual inflation rate,0.7,-0.4,L55O
2015 JAN,months,CPIH annual inflation rate,0.5,-0.2,L55O
2015 FEB,months,CPIH annual inflation rate,0.4,-0.1,L55O
2015 MAR,months,CPIH annual inflation rate,0.3,-0.1,L55O
2015 APR,months,CPIH annual inflation rate,0.3,0.0,L55O
2015 MAY,months,CPIH annual inflation rate,0.4,0.1,L55O
2015 JUN,months,CPIH annual inflation rate,0.3,-0.1,L55O
2015 JUL,months,CPIH annual inflation rate,0.5,0.2,L55O
2015 AUG,months,CPIH annual inflation rate,0.4,-0.1,L55O
2015 SEP,months,CPIH annual inflation rate,0.2,-0.2,L55O
2015 OCT,months,CPIH annual inflation rate,0.2,0.0,L55O
2015 NOV,months,CPIH annual inflation rate,0.4,0.2,L55O
2015 DEC,months,CPIH annual inflation rate,0.5,0.1,L55O
2016 JAN,months,CPIH annual inflation rate,0.6,0.1,L55O
2016 FEB,months,CPIH annual inflation rate,0.6,0.0,L55O
2016 MAR,months,CPIH annual inflation rate,0.8,0.2,L55O
2016 APR,months,CPIH annual inflation rate,0.7,-0.1,L55O
2016 MAY,months,CPIH annual inflation rate,0.7,0.0,L55O
2016 JUN,months,CPIH annual inflation rate,0.8,0.1,L55O
2016 JUL,months,CPIH annual inflation rate,0.9,0.1,L55O
2016 AUG,months,CPIH annual inflation rate,1.0,0.1,L55O
2016 SEP,months,CPIH annual inflation rate,1.3,0.3,L55O
2016 OCT,months,CPIH annual inflation rate,1.3,0.0,L55O
2016 NOV,months,CPIH annual inflation rate,1.5,0.2,L55O
2016 DEC,months,CPIH annual inflation rate,1.8,0.3,L55O
2017 JAN,months,CPIH annual inflation rate,1.9,0.1,L55O
2017 FEB,months,CPIH annual inflation rate,2.3,0.4,L55O
2017 MAR,months,CPIH annual inflation rate,2.3,0.0,L55O
2017 APR,months,CPIH annual inflation rate,2.6,0.3,L55O
2017 MAY,months,CPIH annual inflation rate,2.7,0.1,L55O
2017 JUN,months,CPIH annual inflation rate,2.6,-0.1,L55O
2017 JUL,months,CPIH annual inflation rate,2.6,0.0,L55O
2017 AUG,months,CPIH annual inflation rate,2.7,0.1,L55O
2017 SEP,months,CPIH annual inflation rate,2.8,0.1,L55O
2017 OCT,months,CPIH annual inflation rate,2.8,0.0,L55O
2017 NOV,months,CPIH annual inflation rate,2.8,0.0,L55O
2017 DEC,months,CPIH annual inflation rate,2.7,-0.1,L55O
2018 JAN,months,CPIH annual inflation rate,2.7,0.0,L55O
2018 FEB,months,CPIH annual inflation rate,2.5,-0.2,L55O
2018 MAR,months,CPIH annual inflation rate,2.3,-0.2,L55O
2018 APR,months,CPIH annual inflation rate,2.2,-0.1,L55O
2018 MAY,months,CPIH annual inflation rate,2.3,0.1,L55O
2018 JUN,months,CPIH annual inflation rate,2.3,0.0,L55O
2018 JUL,months,CPIH annual inflation rate,2.3,0.0,L55O
2018 AUG,months,CPIH annual inflation rate,2.4,0.1,L55O
2018 SEP,months,CPIH annual inflation rate,2.2,-0.2,L55O
2018 OCT,months,CPIH annual inflation rate,2.2,0.0,L55O
2018 NOV,months,CPIH annual inflation rate,2.2,0.0,L55O
2018 DEC,months,CPIH annual inflation rate,2.0,-0.2,L55O
